game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
662931,2022-04-09,COL,LAD,Colorado Rockies,Los Angeles Dodgers,0.271,0.729,11.448,5.483547756699124,True,3,2,0.271,,9,9,608566,664062,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663404,2022-04-09,ARI,SDP,Arizona Diamondbacks,San Diego Padres,0.441,0.5589999999999999,7.821,3.9963682262774536,False,2,5,0.441,,9,9,605200,605397,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661040,2022-04-09,LAA,HOU,Los Angeles Angels,Houston Astros,0.334,0.6659999999999999,7.033,4.043502318535257,True,2,0,0.334,,9,9,592789,434378,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661129,2022-04-10,PHI,OAK,Philadelphia Phillies,Oakland Athletics,0.785,0.21499999999999997,9.294,4.337691090891559,False,1,4,0.785,,9,8,621107,641726,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661916,2022-04-10,TBR,BAL,Tampa Bay Rays,Baltimore Orioles,0.451,0.5489999999999999,8.271,4.118198513913578,True,8,0,0.451,,9,9,446372,669330,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662887,2022-04-10,DET,CWS,Detroit Tigers,Chicago White Sox,0.398,0.602,8.354,4.206029481589495,False,1,10,0.398,,9,9,669373,656629,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662570,2022-04-10,WSN,NYM,Washington Nationals,New York Mets,0.459,0.5409999999999999,10.039,4.637831281967898,True,4,2,0.459,,8,9,607200,471911,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661573,2022-04-10,ATL,CIN,Atlanta Braves,Cincinnati Reds,0.61,0.39,9.425,4.549986263715529,False,3,6,0.61,,9,9,666120,668881,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661802,2022-04-10,TOR,TEX,Toronto Blue Jays,Texas Rangers,0.678,0.32199999999999995,12.627,5.082506369892712,False,6,12,0.678,,9,9,547943,675921,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662755,2022-04-10,KCR,CLE,Kansas City Royals,Cleveland Guardians,0.34700000000000003,0.653,9.073,4.600833728793076,False,3,17,0.34700000000000003,,9,8,663460,615698,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
